filter,type,n,wr,exp,avg_w,avg_l
Mkt cap >$500M,individual,17174,0.6053918714335623,0.06042649805818444,0.16409356406811934,-0.09861533244281791
BASELINE,baseline,43237,0.5676619561949257,0.060378257268274255,0.2011788938393861,-0.12449366398574438
Not bio/pharma+0 rev,individual,39980,0.5714857428714357,0.059484300418281885,0.19571493796042116,-0.12219895936240913
MCap>500M+DVol>10M,pair,9105,0.6063701263042285,0.05890964028399139,0.16108701200162043,-0.09849026743169774
MCap>500M+NoBioPharma,pair,15937,0.6090857752400075,0.058501461817649675,0.15729609094576522,-0.09543103656864527
MCap>500M+DVol>10M+NoBioPharma,triple,8593,0.6086349354125451,0.0572928129549716,0.15590628552747876,-0.09606682473584391
GrossM>30+NoBioPharma,pair,11897,0.5554341430612759,0.05707355959070022,0.20137643941132732,-0.12321636853459836
Gross margin >30%,individual,12046,0.554789971774863,0.05678220364058438,0.20209865692456103,-0.12430111862248028
Avg $ vol >$10M,individual,13377,0.5885475069148538,0.05678141305233055,0.17330288299636212,-0.1098925573091085
DVol>10M+NoBioPharma,pair,12713,0.591520490836152,0.05658274454081896,0.17026642607567247,-0.10804296028146072
DE<1+MCap>500M,pair,6396,0.5964665415884928,0.05636661709986931,0.165785310938173,-0.1053661674770887
D/E <1.0,individual,15590,0.5529826812059012,0.056239085627411464,0.2042930137307541,-0.12691099532809388
Pos EPS / Improving EPS,individual,20437,0.5743504428242893,0.05468935475983643,0.18090672645420655,-0.11562211885190242
DE<1+NoBioPharma,pair,13085,0.5594191822697746,0.05433390812323809,0.1940748602567776,-0.12309952979827261
PosEPS+DE<1,pair,9075,0.5703581267217631,0.05412742101017712,0.18283219717831328,-0.1167307276038964
PosEPS+MCap>500M,pair,9711,0.6117804551539491,0.05369445037940104,0.1462260155434591,-0.09212253334464907
PosEPS+GrossM>30+NoBioPharma,triple,7647,0.561135085654505,0.05358629805051318,0.18277604007054762,-0.11159641440716493
PosEPS+NoBioPharma,pair,19061,0.5773044436283511,0.05315474982815823,0.1745073050520655,-0.11258479562100095
PosEPS+GrossM>30,pair,7700,0.5607792207792208,0.053153542912355425,0.18275622869590744,-0.11231789328320273
RevGrowth+MCap>500M,pair,8389,0.6081773751341042,0.05294122176319407,0.1478653115881468,-0.09439759974179798
RevGrowth+GrossM>30,pair,6963,0.5652735889702715,0.05275807646835346,0.18482239768237504,-0.11896480701310963
RevGrowth+GrossM>30+NoBioPharma,triple,6918,0.5649031511997687,0.05258934745624133,0.1843489730224875,-0.11847929596996801
RevGrowth+MCap>500M+NoBioPharma,triple,8281,0.6086221470836856,0.052575418393790124,0.14664490197635535,-0.09370973966117092
RevGrowth+DE<1+MCap>500M,triple,3367,0.604989604989605,0.05238603853186488,0.1510775825411995,-0.09876785255611605
PosEPS+DE<1+NoBioPharma,triple,8005,0.574266083697689,0.05168608506799571,0.173163164103039,-0.11217252183461404
DE<1+MCap>500M+NoBioPharma,triple,5359,0.6045904086583318,0.05162979224660385,0.15026999320566564,-0.09919335598716691
DE<1+MCap>500M+DVol>10M,triple,3604,0.5987791342952276,0.05161252158225984,0.15462898430535185,-0.10212850646506558
RevGrowth+MCap>500M+DVol>10M,triple,4877,0.6114414599138814,0.05153012834377302,0.14462846810338628,-0.09497079469747594
PosEPS+MCap>500M+NoBioPharma,triple,9194,0.6140961496628236,0.05103916936436511,0.13891354297867675,-0.08879699563743972
Revenue growth YoY,individual,16994,0.5720842650347181,0.050870028990372955,0.17669508452675106,-0.11734658128529644
RevGrowth+GrossM>30+MCap>500M,triple,3350,0.5970149253731343,0.05057557850125527,0.15370372443667019,-0.10220685992158167
RevGrowth+NoBioPharma,pair,16684,0.5725245744425798,0.05049999063626896,0.17531408997444634,-0.11666549967195737
PosEPS+DE<1+MCap>500M,triple,4204,0.6082302568981922,0.05046009755263789,0.14490192488808828,-0.09616270299183487
GrossM>30+DE<1+NoBioPharma,triple,5768,0.5594660194174758,0.050391232719721395,0.18157097952236365,-0.11620343195250471
RevGrowth+DE<1,pair,7003,0.5657575324860774,0.05038500974262438,0.17996435821769735,-0.11843885696511622
GrossM>30+MCap>500M,pair,4856,0.5943163097199341,0.050326557506022954,0.1546662218954701,-0.10252840260968489
RevGrowth+GrossM>30+DE<1,triple,3485,0.5655667144906743,0.05022395933408738,0.17818654970601583,-0.11636406287401764
GrossM>30+MCap>500M+NoBioPharma,triple,4833,0.5948686116283881,0.05006490520968789,0.15395248177919388,-0.1024768632465581
GrossM>30+DE<1,pair,5873,0.5581474544525796,0.05003532283141052,0.1826526557491913,-0.1174866876905492
RevGrowth+DE<1+NoBioPharma,triple,6766,0.5665090156665681,0.04948218948969932,0.1770608086388697,-0.11724431824939716
RevGrowth+PosEPS+GrossM>30,triple,4821,0.5716656295374404,0.04947623712866817,0.16974903802439842,-0.11104281336461636
PosEPS+MCap>500M+DVol>10M,triple,5434,0.6194331983805668,0.04945668293984051,0.13546616646348664,-0.09053747641247707
RevGrowth+PosEPS+MCap>500M,triple,6499,0.6140944760732421,0.04941198311419893,0.1346505133667784,-0.086228756215165
