universe,quality,pullback,trigger,hold,exit,n,wr,exp,avg_w,avg_l,score
small,none,dn5,green,20,time,14667,0.5699870457489602,0.045792207328302,0.16958153511951127,-0.11829195001029155,5.545774728390753
mid,none,dn5,green,20,time,14796,0.5840091916734252,0.04415515286042069,0.14651192605316327,-0.0995434461905117,5.3709802314833395
mid,none,dn8,green,20,time,9315,0.5758454106280193,0.05212180330002856,0.17127762948162645,-0.10964783771189021,5.030496631813262
small,none,dn8,green,20,time,9720,0.5456790123456791,0.04959276509796795,0.20143393030349016,-0.1327816778934473,4.88935370397815
small,none,dn5,green,10,time,14996,0.592824753267538,0.03930163193470111,0.1263538952569202,-0.0874416731643044,4.812805379180613
mid,none,dn10,green,20,time,7083,0.568262035860511,0.05679975021286487,0.18849926970735562,-0.11654575860509633,4.780298833181785
small,none,dn10,green,20,time,7635,0.537917485265226,0.05359590039400178,0.22021606081869247,-0.14036923533848253,4.683128688771974
small,none,dn5,green,20,target15,15318,0.6650998824911868,0.03627423444213993,0.11148594227605091,-0.11309357830871486,4.489513565218119
mid,none,dn5,green,10,time,14999,0.5977065137675845,0.036114508200164555,0.11108970334385503,-0.07527969539002193,4.422958430778403
small,none,dn8,green,10,time,9958,0.5824462743522796,0.04393768354056838,0.1463256654658735,-0.09888345526817854,4.384531731855189
mid,none,dn10,green,10,time,7205,0.5980569049271339,0.051485870115290315,0.14528995272507142,-0.08808657186176315,4.370237600990724
mid,none,dn8,green,10,time,9450,0.5991534391534391,0.044929828116653504,0.1312211726841786,-0.08405158501463668,4.367678484720993
small,none,dn10,green,10,time,7851,0.5761049547828302,0.04814511353463653,0.15972202604956764,-0.1034962251988471,4.265939617068219
small,none,dn15,green,20,time,4504,0.5188721136767318,0.061504915377786774,0.263227808716272,-0.15604303189126714,4.127708467030068
mid,none,dn15,green,10,time,3740,0.5868983957219251,0.06736728190726227,0.1851251653457931,-0.09993275313971192,4.119882463333307
small,none,dn5,green,20,trail5,16302,0.6159366948840633,0.03173825489878372,0.06610384335278342,-0.023375125338656152,4.052317715231222
small,none,dn5,green,5,time,15108,0.6127879269261318,0.03294003701378435,0.09115080586810395,-0.05918223615771835,4.048811621846212
small,none,dn5,green,20,target10,15619,0.727447339778475,0.032378360158789234,0.08571359303860857,-0.10997421582911476,4.046517864590775
mid,none,dn15,volexp,20,time,1043,0.5129434324065196,0.1249280360007646,0.3841184212248995,-0.14803821615457427,4.034614701394137
small,none,dn8,green,20,target15,10271,0.6686788044007399,0.03959948139033699,0.12327456434834158,-0.1292751791314308,4.0132467520557995
mid,none,dn5,green,20,target15,15074,0.6379195966564947,0.03239950527154892,0.10548528893031126,-0.09636430851787187,3.9778887610531712
small,none,dn5,green,10,trail5,16127,0.6323556768152787,0.03131606128776189,0.06292029696903602,-0.023043863737981667,3.976893192741447
mid,none,dn15,green,20,time,3642,0.5389895661724328,0.06570812432963168,0.23503657487099786,-0.132261946196099,3.9654186147024344
small,none,dn8,green,20,trail5,10927,0.6396998261187883,0.037310339216805724,0.07111305408828662,-0.02270514895989009,3.9001352609997624
small,none,dn5,green,2,trail5,15497,0.6971671936503839,0.031156283126142312,0.053117788626803886,-0.019402443792491304,3.8785505695721647
small,none,dn5,green,5,trail5,15824,0.6469919110212335,0.03078564676003199,0.05957557263560978,-0.021980422182711543,3.872633687655366
small,none,dn8,green,5,time,10017,0.6064690026954178,0.03861288645247327,0.10727696502200404,-0.06720504284988581,3.864569346889663
small,none,dn5,green,10,target15,15340,0.6458930899608866,0.03117552055669382,0.0945177038146743,-0.0843609948556903,3.861236418245595
small,none,dn5,green,2,time,15115,0.6852133642077407,0.03133863155751405,0.06209573825519121,-0.03561205235754321,3.852867769424803
small,none,dn8,green,10,trail5,10807,0.647913389469788,0.03704238965830944,0.06946053974576481,-0.022613822408014492,3.850805395197206
small,none,dn10,green,20,target15,8126,0.6763475264582821,0.04257003961315239,0.12904314666718014,-0.1381357384738958,3.837447644421842
small,none,dn10,green,20,trail5,8636,0.6570171375636868,0.041034789568807295,0.07434452500699364,-0.022773258667610444,3.813366328456076
small,none,dn8,green,2,trail5,10364,0.699633346198379,0.03713127039690722,0.06192016864141731,-0.020608627184507056,3.7801019278203736
small,none,dn8,green,5,trail5,10614,0.6596947427925381,0.03666834618797914,0.06703518047806037,-0.022198922278008897,3.7777295609243913
small,none,dn10,green,10,trail5,8554,0.6617956511573533,0.04067694274813083,0.07307527583607053,-0.0227198645836447,3.762122452100295
small,none,dn10,green,5,time,7892,0.6040293968575773,0.04228728158950451,0.11676886519141583,-0.07132990530019509,3.756672243082105
mid,none,dn5,green,5,time,14980,0.6127503337783712,0.030647863355526266,0.08331575266759675,-0.052689243349437524,3.7510781241291102
small,none,dn15,green,10,time,4639,0.5624056908816555,0.05488129796435961,0.18809578370791866,-0.11632884652083524,3.737976444889245
mid,none,dn15,volexp,10,time,1067,0.528584817244611,0.11423166882418623,0.32483611942756074,-0.12191328175295739,3.73137357165382
small,none,dn10,green,5,trail5,8418,0.6711808030411024,0.04044853887632994,0.07125745464032471,-0.022438156956968595,3.711139665127402
mid,none,dn10,volexp,20,time,1940,0.5283505154639175,0.08410947175283065,0.27726229049452017,-0.132263904433215,3.7046379421973232
large,none,dn5,green,20,time,8728,0.5977314390467461,0.03960519923472101,0.1208508660559389,-0.08111785511056345,3.700066854321789
small,none,dn10,green,2,trail5,8206,0.7031440409456495,0.04079850657613845,0.06690919937393243,-0.021048249352954854,3.695813286321077
small,none,dn8,green,2,time,10046,0.6775831176587697,0.036820730613525525,0.07343100148316839,-0.04011848328263349,3.690532112646115
mid,none,dn5,immed,20,time,29049,0.5119969706358223,0.021337117280425075,0.14516252023453716,-0.10857648445042348,3.6366485941644
mid,none,dn8,green,5,time,9436,0.6116998728274693,0.037131444564666376,0.09773991723932182,-0.058346749834381484,3.6069141990945814
small,none,dn8,green,10,target15,10260,0.6518518518518519,0.03558417658750984,0.1061140949560531,-0.09647184078337968,3.604380248558373
mid,none,dn8,volexp,20,time,2460,0.5361788617886178,0.07266812217587836,0.24486059074758834,-0.12638697514759709,3.6042216513691585
small,none,dn8,green,20,target10,10489,0.7430641624559062,0.0351727980165814,0.09157850885032988,-0.1279537735003891,3.6022509185766713
small,none,dn15,green,20,trail5,5158,0.6960062039550213,0.04979427987631921,0.0814008383742345,-0.022570225868270004,3.576186215891649
small,none,dn5,green,5,target15,15298,0.6376650542554583,0.028863241295077367,0.07807750217032092,-0.057747820375137496,3.5699524236170337
small,none,dn5,green,10,target10,15572,0.6936167480092473,0.028523215140703596,0.07757604590395563,-0.08252680059475757,3.559349834473383
mid,none,dn10,green,5,time,7189,0.6089859507581027,0.041951779938328965,0.10812767607991947,-0.06111405901858431,3.5570062943037826
small,none,dn15,green,10,trail5,5122,0.6967981257321358,0.04969581845298667,0.08110016498745587,-0.022475535559582916,3.556637756633355
small,none,dn10,green,2,time,7931,0.67204640020174,0.03984998290941487,0.07974847884525658,-0.04191048742431691,3.5488865358773434
small,none,dn5,green,2,target15,15177,0.6920998879884035,0.028754874298651752,0.0571014595202994,-0.034962765583262834,3.542455802666955
small,none,dn15,green,2,trail5,4912,0.7237377850162866,0.05046854223862086,0.07788375901737744,-0.021352456765417225,3.537121186495656
small,none,dn15,green,5,trail5,5056,0.7011471518987342,0.04972277499395509,0.08040165337559621,-0.022253812605593372,3.535565528917686
mid,none,dn15,green,2,trail5,3771,0.6748872977989923,0.05754744338340246,0.09546624552758097,-0.021166546385711995,3.5339003626179744
mid,none,dn15,green,5,time,3723,0.613215149073328,0.05746346937171627,0.1376676275841263,-0.06969353979420881,3.506213529214647
small,none,dn10,green,10,target15,8124,0.6563269325455441,0.038880129402627125,0.11241922141687251,-0.10156057210881855,3.5043918291557388
mid,none,dn5,green,20,target10,15193,0.6906470084907523,0.028296776325424277,0.08364065961279432,-0.0952613869372085,3.487857481806807
mid,none,dn8,green,20,target15,9527,0.6438543088065498,0.03565213077286792,0.11439687955594409,-0.10670574987416692,3.479874434761598
mid,none,dn15,green,20,trail5,3860,0.6207253886010363,0.05572013165684146,0.10336718298569203,-0.022259605354036916,3.46183039118949
mid,none,dn15,green,10,trail5,3854,0.6227296315516346,0.055721313671097616,0.10294059245474924,-0.022219724211133402,3.4592121832196714
mid,none,dn15,green,5,trail5,3829,0.6317576390702533,0.05589580309102674,0.1014259039489335,-0.02221576710420477,3.458771593415458
