rank,ticker,scan_date,price,pct_off_high,high_20d,ma21,vol_today,vol_ratio,avg_dvol
1,STG,2026-06-05,3.47,-43.49,6.14,3.34,72231,0.05,8000085
2,APLZ,2026-06-05,18.63,-35.09,28.7,18.44,263202,0.67,6814778
3,VRAX,2026-06-05,0.21,-33.39,0.32,0.21,1683998,0.03,13701495
4,PIII,2026-06-05,11.58,-29.69,16.47,9.8,69845,0.02,43671088
5,CMND,2026-06-05,3.98,-27.74,5.51,3.71,41850579,15.18,9839287
6,SMZ,2026-06-05,24.66,-23.31,32.16,22.76,225392,3.01,1597846
7,OKLS,2026-06-05,22.0,-23.05,28.59,19.55,702200,0.93,14151787
8,INDP,2026-06-05,3.66,-22.95,4.75,1.86,2792012,1.21,10667017
9,LMRI,2026-06-05,8.5,-19.05,10.5,8.18,611324,0.55,8516472
10,BEZ,2026-06-05,20.49,-19.01,25.3,19.8,169775,0.27,12510901
11,ROLR,2026-06-05,6.33,-17.25,7.65,5.95,1137572,1.34,5184372
12,PRAA,2026-06-05,16.01,-16.53,19.18,15.57,582149,0.88,10405732
13,DXST,2026-06-05,4.14,-16.36,4.95,2.27,1074614,0.23,20825741
14,CUE,2026-06-05,29.46,-15.83,35.0,25.55,92215,0.64,3926391
15,SOAR,2026-06-05,0.36,-15.63,0.43,0.2,46482706,0.95,13408995
16,PODC,2026-06-05,4.22,-15.26,4.98,4.16,170821,1.02,712673
17,WIT,2026-06-05,2.1,-13.58,2.43,2.04,7297649,0.54,27749295
18,CORD,2026-06-05,5.93,-12.54,6.78,5.57,5560287,1.17,25000561
19,APPN,2026-06-05,24.73,-10.95,27.77,22.26,1171199,1.02,26338910
20,BNAI,2026-06-05,22.17,-10.86,24.87,19.38,9366691,30.87,5868850
21,WEBS,2026-06-05,18.22,-10.73,20.41,18.21,79099,1.15,1254268
22,NRXP,2026-06-05,4.14,-10.39,4.62,3.6,2026031,1.22,6303107
23,AIYY,2026-06-05,9.96,-9.95,11.06,9.63,77874,0.78,956379
24,OILD,2026-06-05,42.13,-9.54,46.58,41.19,136122,1.3,4299478
25,MBC,2026-06-05,8.46,-9.13,9.31,7.86,3523249,0.78,36339438
26,INFU,2026-06-05,9.24,-9.06,10.16,9.06,98046,0.36,2434152
27,GNK,2026-06-05,24.69,-8.83,27.08,24.54,277483,0.74,9125042
28,INM,2026-06-05,1.58,-8.67,1.73,1.25,206454,0.04,8085899
29,API,2026-06-05,4.81,-8.56,5.26,4.18,676608,1.07,2734619
30,EHTH,2026-06-05,1.73,-8.47,1.89,1.69,1100425,3.3,560748
31,HURN,2026-06-05,110.0,-8.31,119.97,108.53,215183,0.8,29101994
