month,pnl,ticker,date,universe
2023-02,-0.21742066171505742,ALT,2023-02-02,mid
2024-01,-0.1467803030303031,ALT,2024-01-16,mid
2024-05,-0.2609238451935081,ALT,2024-05-17,mid
2024-10,0.12076583210603833,ALT,2024-10-17,mid
2023-01,0.29438543247344456,ZUO,2023-01-03,mid
2024-06,-0.05530642750373693,GOOS,2024-06-10,mid
2025-06,-0.04430929626411814,GOOS,2025-06-02,mid
2024-02,0.1167058823529412,URTY,2024-02-20,mid
2024-09,0.061646757679180895,URTY,2024-09-03,mid
2025-04,-0.1879032258064516,AMRK,2025-04-24,mid
2024-11,0.019653781075100938,SANM,2024-11-19,mid
2025-01,-0.17511285674207444,UI,2025-01-27,mid
2024-09,0.24303305249513935,KRUS,2024-09-03,mid
2024-10,0.3134210526315789,KRUS,2024-10-02,mid
2024-11,0.09653916211293266,KRUS,2024-11-04,mid
2023-11,0.0778625954198473,MSOS,2023-11-10,mid
2024-01,0.39204545454545464,MSOS,2024-01-10,mid
2023-11,0.2327586206896552,NGD,2023-11-08,mid
2023-12,0.022222222222222077,NGD,2023-12-08,mid
2024-08,0.26422764227642276,NGD,2024-08-28,mid
2025-05,0.23316062176165803,NGD,2025-05-12,mid
2023-11,0.7981049562682216,RAPT,2023-11-27,mid
2024-01,0.07540702656383898,RAPT,2024-01-03,mid
2023-02,0.034879665155214505,ERY,2023-02-01,mid
2025-04,-0.0471124620060791,ERY,2025-04-09,mid
2025-01,0.053184204519516054,EPAC,2025-01-16,mid
2023-09,-0.15479876160990713,VNET,2023-09-05,mid
2023-11,-0.1304347826086957,VNET,2023-11-14,mid
2024-10,-0.12294583079732195,BYRN,2024-10-02,mid
2025-01,-0.05122807017543863,BYRN,2025-01-02,mid
2023-02,-0.5296096904441453,GTHX,2023-02-06,mid
2023-12,0.3012048192771084,GTHX,2023-12-13,mid
2025-06,0.02931476731403447,KNSA,2025-06-12,mid
2023-07,0.07743857036485487,BAND,2023-07-10,mid
2023-08,-0.04393305439330543,GATO,2023-08-02,mid
2024-11,-0.056089743589743675,AXL,2024-11-20,mid
2024-05,-0.23636363636363644,FREY,2024-05-23,mid
2024-07,-0.27647058823529413,FREY,2024-07-22,mid
2023-11,-0.03661087866108789,BEAM,2023-11-21,mid
2023-11,0.42380952380952386,WISH,2023-11-02,mid
2023-12,-0.18812147272238644,IRBT,2023-12-18,mid
2024-05,-0.15722120658135275,IRBT,2024-05-15,mid
2023-02,-0.21551724137931036,RDW,2023-02-24,mid
