Ticker,Signal_Date,Trade_Date,Signal_Close,FRD_Close_Pct,Entry_Open,Trade_High,Exit_Close,Roll3_Gain,Avg_Vol,Streak,FRD_Vol_Ratio,Actual_Exit,Stop_Hit,PnL_Pct,PnL_Pts,Is_Win
RESN,2022-02-17,2022-02-18,4.39,0.889,4.37,4.38,4.37,2.5691,14625897,2,0.41,4.37,False,0.0,0.0,False
CYRN,2022-02-28,2022-03-01,5.85,0.854,5.45,6.6,6.49,1.5771,28628201,2,0.244,6.104,True,-0.12000000000000015,-0.6540000000000008,False
HYMC,2022-03-09,2022-03-10,6.3,0.09,8.09,15.0,15.0,1.0488,8526768,2,0.661,9.0608,True,-0.12000000000000006,-0.9708000000000006,False
ENSV,2022-03-09,2022-03-10,3.02,0.309,4.0,4.8621,4.32,1.237,52517431,3,0.344,4.48,True,-0.1200000000000001,-0.4800000000000004,False
KC,2022-03-17,2022-03-18,5.25,0.269,5.44,7.62,6.34,1.0508,37700537,2,0.598,6.0928,True,-0.12000000000000016,-0.6528000000000009,False
NRSN,2022-03-22,2022-03-23,6.11,0.823,5.75,7.65,5.17,3.594,64551667,2,0.487,6.44,True,-0.12000000000000006,-0.6900000000000004,False
CMRA,2022-06-16,2022-06-17,3.5,0.357,3.3,4.93,4.44,1.6515,40126615,2,0.391,3.696,True,-0.1200000000000001,-0.39600000000000035,False
PEV,2022-06-24,2022-06-27,6.14,0.678,6.07,7.04,6.69,1.0,38610804,2,0.096,6.7984,True,-0.12000000000000009,-0.7284000000000006,False
RMED,2022-10-04,2022-10-05,6.54,0.386,6.5,7.48,6.45,11.8235,2783332,2,0.527,7.28,True,-0.12000000000000018,-0.7800000000000011,False
HTGM,2022-12-13,2022-12-14,8.664,0.07,8.82,10.2,8.2212,1.9089,5779855,2,0.252,9.8784,True,-0.12000000000000008,-1.0584000000000007,False
ICVX,2022-12-16,2022-12-19,9.98,0.656,9.41,9.64,9.04,1.3762,17858514,4,0.262,9.04,False,0.039319872476089375,0.370000000000001,True
HOTH,2022-12-30,2023-01-03,7.8,0.277,7.03,7.66,6.56,1.6351,12662076,2,0.55,6.56,False,0.06685633001422484,0.47000000000000064,True
MGAM,2023-02-02,2023-02-03,3.48,0.66,3.08,3.81,3.0,2.4455,52036170,2,0.181,3.4496,True,-0.12000000000000005,-0.36960000000000015,False
OCEA,2023-02-24,2023-02-27,9.99,0.74,9.09,11.61,9.34,1.9732,12651227,2,0.722,10.1808,True,-0.12000000000000018,-1.0908000000000015,False
THMO,2023-03-17,2023-03-20,5.05,0.178,4.96,4.975,4.46,1.0528,21329300,2,0.255,4.46,False,0.10080645161290323,0.5,True
USX,2023-03-23,2023-03-24,5.97,0.5,5.96,5.97,5.96,2.98,6684864,2,0.424,5.96,False,0.0,0.0,False
IFRX,2023-04-06,2023-04-10,5.5,0.27,5.94,5.96,4.95,1.75,41688463,2,0.321,4.95,False,0.16666666666666669,0.9900000000000002,True
NCMI,2023-04-13,2023-04-14,4.279,0.131,3.55,3.855,3.48,2.2173,20212377,2,0.722,3.48,False,0.019718309859154886,0.06999999999999984,True
SAI,2023-04-17,2023-04-18,3.82,0.388,3.55,3.7899,2.51,1.6345,15932746,4,0.208,2.51,False,0.29295774647887324,1.04,True
LEJU,2023-05-03,2023-05-04,4.2,0.5,3.97,4.27,2.54,1.3204,4481431,3,0.141,2.54,False,0.3602015113350126,1.4300000000000002,True
GSIT,2023-05-16,2023-05-17,4.33,0.292,3.81,4.4899,4.36,1.8117,66167473,2,0.146,4.2672,True,-0.12000000000000019,-0.4572000000000007,False
XELA,2023-05-18,2023-05-19,6.35,0.179,6.38,6.45,4.91,1.0617,37406555,2,0.282,4.91,False,0.23040752351097174,1.4699999999999998,True
